Job Title,Company Name,Location,Job Type,Experience Level,Posting Date,Requirements,Link
Mechatronics Engineer – Dental CNC Systems,Mechatronics Engineer – Dental CNC Systems,"Dokki, Giza, Egypt",Full Time,Not specified,3 hours ago,[],https://wuzzuf.net/jobs/p/ul3c0kuf2ayx-mechatronics-engineer-dental-cnc-systems-vceram-giza-egypt
Tendering Engineer – Low Voltage Panels,Experienced,"New Cairo, Cairo, Egypt",Full Time,Not specified,3 hours ago,[],https://wuzzuf.net/jobs/p/bbrqa5skbsan-tendering-engineer-low-voltage-panels-ecg-cairo-egypt
Geologist,· Medical/Healthcare,"Ber Shalaten, Red Sea, Egypt",Full Time,Not specified,2 hours ago,[],https://wuzzuf.net/jobs/p/tnmwj5x3zjqf-geologist-cross-cut-red-sea-egypt
Lead Software Engineer (Manufacturing Systems),· Engineering - Mechanical/Electrical,"Nasr City, Cairo, Egypt",Full Time,Not specified,2 hours ago,[],https://wuzzuf.net/jobs/p/aj5d2t6q057k-lead-software-engineer-manufacturing-systems-k-line-europe-cairo-egypt
Senior Sales Specialist - Fluent in English,Tendering Engineer – Low Voltage Panels,"Nasr City, Cairo, Egypt",Full Time,Not specified,2 hours ago,[],https://wuzzuf.net/jobs/p/x9kofhish9um-senior-sales-specialist-fluent-in-english-k-line-europe-cairo-egypt
Senior Odoo Developer,Experienced,"Obour City, Cairo, Egypt",Full Time,Not specified,2 hours ago,[],https://wuzzuf.net/jobs/p/cgwnmorsocym-senior-odoo-developer-union-group-cairo-egypt
OSS/BSS Testing,· Engineering - Construction/Civil/Architecture,"New Cairo, Cairo, Egypt",Full Time,Not specified,2 hours ago,"['Bachelor’s degree in Electrical Engineering or a related field.', '2 to 6 years of experience in a technical office engineering role, preferably within the electrical or low voltage panel industry.', 'Strong knowledge of low voltage switchgear, control panels, and related electrical systems.', 'Proficiency in AutoCAD, electrical design software, and Microsoft Office Suite.', 'Familiarity with international and local electrical standards and codes.', 'Excellent organizational and documentation skills.', 'Strong communication and teamwork abilities.', 'Ability to manage multiple tasks and prioritize effectively in a fast-paced environment.', 'Attention to detail and commitment to delivering high-quality work.', 'Willingness to conduct site visits and occasional field work as required.']",https://wuzzuf.net/jobs/p/28f2e38uaoev-ossbss-testing-mobily-infotech-ltd-india-cairo-egypt
ICT Teacher,· Creative/Design/Art,"Haram, Giza, Egypt",Full Time,Not specified,2 hours ago,"['Bachelor’s degree in Geology(Fresh graduates are welcome to apply).', 'Strong interest in mining and fieldwork.', 'Physically fit and willing to work in remote desert locations.', 'Good observation and documentation skills.', 'Ability to work in a team and follow site instructions carefully.', 'Competitive salary(based on qualifications and interview).', 'Full accommodation and meals providedon-site.', 'Transportation allowancefor rotation trips.', '20 working days on-site followed by 10 days off.', 'Great opportunity to gainhands-on field experiencein real mining operations.']",https://wuzzuf.net/jobs/p/2astkesjw5fl-ict-teacher-giza-egypt
Interior Architect,· Engineering - Mechanical/Electrical,"6th of October, Giza, Egypt",Full Time,Not specified,1 hour ago,"['Proven experience in a senior or lead software engineering role, with a track record of successfully delivering complex software projects.', 'Strong proficiency in our core tech stack: Node.js, TypeScript, PostgreSQL, and MongoDB.', 'Extensive experience with microservices architecture, API design, and backend systems integration.', 'Demonstrated leadership skills with the ability to mentor and inspire a team of engineers.', 'Experience with Manufacturing Execution Systems (MES) and a solid understanding of manufacturing processes is a plus.', 'Ability to communicate effectively in English for business and technical purposes.', 'Experience with no-code or low-code platforms.', 'Knowledge of cloud platforms (AWS and GCP) and infrastructure-as-code.', 'Experience in transitioning from legacy systems to modern software architectures.']",https://wuzzuf.net/jobs/p/yqbsjjbmkl3u-interior-architect-dyar-for-construction-contractors-giza-egypt
System Administrator,Geologist,"Nasr City, Cairo, Egypt",Full Time,Not specified,1 hour ago,"['Proven experience in sales with a strong ability to meet KPIs and revenue goals.', 'Ability to work in a dynamic and fast-growing industry, engaging effectively with senior decision makers.', 'Strong presentation, negotiation, and closing skills.', 'Fluency in English is essential; additional languages are a plus.', 'Comfortable working remotely with international customers across multiple time zones.', 'Bachelor’s degree in Engineering, Medical Technology, Mechanical Engineering, Business Administration, or related field is a plus.']",https://wuzzuf.net/jobs/p/effffsanhkyc-system-administrator-mahgoub-group-cairo-egypt
